id,code,desc
1664,P0919,Gear shift position control -error
1665,P091A,ISO/SAE Reserved
1666,P091B,ISO/SAE Reserved
1667,P091C,ISO/SAE Reserved
1668,P091D,ISO/SAE Reserved
1669,P091E,ISO/SAE Reserved
1670,P091F,ISO/SAE Reserved
1671,P0920,Gear shift forward actuator -circuit open
1672,P0921,Gear shift forward actuator -circuit range/performance
1673,P0922,Gear shift forward actuator -circuit low
1674,P0923,Gear shift forward actuator -circuit high
1675,P0924,Gear shift reverse actuator -circuit open
1676,P0925,Gear shift reverse actuator -circuit range/performance
1677,P0926,Gear shift reverse actuator -circuit low
1678,P0927,Gear shift reverse actuator -circuit high
1679,P0928,Gear shift lock solenoid -circuit open
1680,P0929,Gear shift lock solenoid -circuit range/performance
1681,P092A,"Gear Shift Lock Solenoid/Actuator Control Circuit ""B""/Open"
1682,P092B,"Gear Shift Lock Solenoid/Actuator Control Circuit ""B"" Range/Performance"
1683,P092C,"Gear Shift Lock Solenoid/Actuator Control Circuit ""B"" Low"
1684,P092D,"Gear Shift Lock Solenoid/Actuator Control Circuit ""B"" High"
1685,P092E,ISO/SAE Reserved
1686,P092F,ISO/SAE Reserved
1687,P0930,Gear shift lock solenoid -circuit low
1688,P0931,Gear shift lock solenoid -circuit high
4958,P3800,ISO/SAE Reserved
1689,P0932,Hydraulic pressure sensor -circuit malfunction
1690,P0933,Hydraulic pressure sensor -range/performance
1691,P0934,Hydraulic pressure sensor -circuit low input
1692,P0935,Hydraulic pressure sensor -circuit high input
1693,P0936,Hydraulic pressure sensor -circuit intermittent
1694,P0937,Hydraulic oil temperature sensor -circuit malfunction
1695,P0938,Hydraulic oil temperature sensor -range/performance
1696,P0939,Hydraulic oil temperature sensor -circuit low input
1697,P093A,ISO/SAE Reserved
1698,P093B,ISO/SAE Reserved
1699,P093C,ISO/SAE Reserved
1700,P093D,ISO/SAE Reserved
1701,P093E,ISO/SAE Reserved
1702,P093F,ISO/SAE Reserved
1703,P0940,Hydraulic oil temperature sensor -circuit high input
1704,P0941,Hydraulic oil temperature sensor -circuit intermittent
1705,P0942,Hydraulic pressure unit
1706,P0943,Hydraulic pressure unit -cycling period too short
1707,P0944,Hydraulic pressure unit -loss of pressure
1708,P0945,Hydraulic pump relay - -circuit open
1709,P0946,Hydraulic pump relay -circuit range/performance
1710,P0947,Hydraulic pump relay -circuit low
1711,P0948,Hydraulic pump relay -circuit high
1712,P0949,ASM -adaptive learning not done
1713,P094A,ISO/SAE Reserved
1714,P094B,ISO/SAE Reserved
1715,P094C,ISO/SAE Reserved
1716,P094D,ISO/SAE Reserved
1717,P094E,ISO/SAE Reserved
1718,P094F,ISO/SAE Reserved
1719,P0950,ASM control circuit
1720,P0951,ASM control circuit -range/performance
1721,P0952,ASM control circuit -low
1722,P0953,ASM control circuit -high
1723,P0954,ASM -intermittent circuit malfunction
1724,P0955,ASM mode circuit -malfunction
1725,P0956,ASM mode circuit -range/performance
1726,P0957,ASM mode circuit -low
1727,P0958,ASM mode circuit -high
1728,P0959,ASM mode circuit -intermittent circuit malfunction
1729,P095A,ISO/SAE Reserved
1730,P095B,ISO/SAE Reserved
1731,P095C,ISO/SAE Reserved
1732,P095D,ISO/SAE Reserved
1733,P095E,ISO/SAE Reserved
1734,P095F,ISO/SAE Reserved
1735,P0960,Pressure control (PC) solenoid A -control circuit open
1736,P0961,Pressure control (PC) solenoid A -control circuit range/performance
1737,P0962,Pressure control (PC) solenoid A -control circuit low
1738,P0963,Pressure control (PC) solenoid A -control circuit high
1739,P0964,Pressure control (PC) solenoid B -control circuit open
1740,P0965,Pressure control (PC) solenoid B -control circuit range/performance
1741,P0966,Pressure control (PC) solenoid B -control circuit low
1742,P0967,Pressure control (PC) solenoid B -control circuit high
1743,P0968,Pressure control (PC) solenoid C -control circuit open
1744,P0969,Pressure control (PC) solenoid C -control circuit range/ performance
1745,P096A,ISO/SAE Reserved
1746,P096B,ISO/SAE Reserved
1747,P096C,ISO/SAE Reserved
1748,P096D,ISO/SAE Reserved
1749,P096E,ISO/SAE Reserved
1750,P096F,ISO/SAE Reserved
1751,P0970,Pressure control (PC) solenoid C -control circuit low
1752,P0971,Pressure control (PC) solenoid C -control circuit high
1753,P0972,Shift solenoid (SS) A -control circuit range/performance
1754,P0973,Shift solenoid (SS) A -control circuit low
1755,P0974,Shift solenoid (SS) A -control circuit high
1756,P0975,Shift solenoid (SS) B -control circuit range/performance
1757,P0976,Shift solenoid (SS) B -control circuit low
1758,P0977,Shift solenoid (SS) B -control circuit high
1759,P0978,Shift solenoid (SS) C -control circuit range/performance
1760,P0979,Shift solenoid (SS) C -control circuit low
1761,P097A,ISO/SAE Reserved
1762,P097B,ISO/SAE Reserved
1763,P097C,ISO/SAE Reserved
1764,P097D,ISO/SAE Reserved
1765,P097E,ISO/SAE Reserved
1766,P097F,ISO/SAE Reserved
1767,P0980,Shift solenoid (SS) C -control circuit high
1768,P0981,Shift solenoid (SS) D -control circuit range/performance
1769,P0982,Shift solenoid (SS) D -control circuit low
1770,P0983,Shift solenoid (SS) D -control circuit high
1771,P0984,Shift solenoid (SS) E -control circuit range/performance
1772,P0985,Shift solenoid (SS) E -control circuit low
1773,P0986,Shift solenoid (SS) E -control circuit high
1774,P0987,Transmission fluid pressure (TFP) sensor E circuit malfunction
1775,P0988,Transmission fluid pressure (TFP) sensor E -circuit range/performance
1776,P0989,Transmission fluid pressure (TFP) sensor E -circuit low
1777,P098A,ISO/SAE Reserved
1778,P098B,ISO/SAE Reserved
1779,P098C,ISO/SAE Reserved
1780,P098D,ISO/SAE Reserved
1781,P098E,ISO/SAE Reserved
1782,P098F,ISO/SAE Reserved
1783,P0990,Transmission fluid pressure (TFP) sensor E -circuit high
1784,P0991,Transmission fluid pressure (TFP) sensor E -circuit intermittent
1785,P0992,Transmission fluid pressure (TFP) sensor F -circuit malfunction
1786,P0993,Transmission fluid pressure (TFP) sensor F circuit range/performance
1787,P0994,Transmission fluid pressure (TFP) sensor F -circuit low
1788,P0995,Transmission fluid pressure (TFP) sensor F -circuit high
1789,P0996,Transmission fluid pressure (TFP) sensor F circuit intermittent
1790,P0997,Shift solenoid (SS) F -control circuit range/performance
1791,P0998,Shift solenoid (SS) F -control circuit low
1792,P0999,Shift solenoid (SS) F -control circuit high
1793,P099A,"Shift Solenoid ""G"" Control Circuit Range/Performance"
1794,P099B,"Shift Solenoid ""G"" Control Circuit Low"
1795,P099C,"Shift Solenoid ""G"" Control Circuit High"
1796,P099D,"Shift Solenoid ""H"" Control Circuit Range/Performance"
1797,P099E,"Shift Solenoid ""H"" Control Circuit Low"
1798,P099F,"Shift Solenoid ""H"" Control Circuit High"
1799,P09A0,ISO/SAE Reserved
1800,P0A00,Motor Electronics Coolant Temperature Sensor Circuit
1801,P0A01,Motor Electronics Coolant Temperature Sensor Circuit Range/Performance
1802,P0A02,Motor Electronics Coolant Temperature Sensor Circuit Low
1803,P0A03,Motor Electronics Coolant Temperature Sensor Circuit High
1804,P0A04,Motor Electronics Coolant Temperature Sensor Circuit Intermittent
1805,P0A05,"Motor Electronics Coolant Pump ""A"" Control Circuit/Open"
1806,P0A06,"Motor Electronics Coolant Pump ""A"" Control Circuit Low"
1807,P0A07,"Motor Electronics Coolant Pump ""A"" Control Circuit High"
1808,P0A08,DC/DC Converter Status Circuit
1809,P0A09,DC/DC Converter Status Circuit Low
1810,P0A0A,High Voltage System Interlock Circuit
1811,P0A0B,High Voltage System Interlock Circuit Performance
1812,P0A0C,High Voltage System Interlock Circuit Low
1813,P0A0D,High Voltage System Interlock Circuit High
1814,P0A0E,High Voltage System Interlock Circuit Intermittent
1815,P0A0F,Engine Failed to Start
1816,P0A10,DC/DC Converter Status Circuit High
1817,P0A11,DC/DC Converter Enable Circuit/Open
1818,P0A12,DC/DC Converter Enable Circuit Low
1819,P0A13,DC/DC Converter Enable Circuit High
1820,P0A14,"Engine Mount ""A"" Control Circuit/OpenSAE"
1821,P0A15,"Engine Mount ""A"" Control Circuit Low"
1822,P0A16,"Engine Mount ""A"" Control Circuit High"
1823,P0A17,Motor Torque Sensor Circuit
1824,P0A18,Motor Torque Sensor Circuit Range/Performance
1825,P0A19,Motor Torque Sensor Circuit Low
1826,P0A1A,Generator Control Module
1827,P0A1B,"Drive Motor ""A"" Control Module"
1828,P0A1C,"Drive Motor ""B"" Control Module"
1829,P0A1D,Hybrid Powertrain Control Module
1830,P0A1E,Starter/Generator Control Module
1831,P0A1F,Battery Energy Control Module
1832,P0A20,Motor Torque Sensor Circuit High
1833,P0A21,Motor Torque Sensor Circuit Intermittent
1834,P0A22,Generator Torque Sensor Circuit
1835,P0A23,Generator Torque Sensor Circuit Range/Performance
1836,P0A24,Generator Torque Sensor Circuit Low
1837,P0A25,Generator Torque Sensor Circuit High
1838,P0A26,Generator Torque Sensor Circuit Intermittent
1839,P0A27,Hybrid Battery Power Off Circuit
1840,P0A28,Hybrid Battery Power Off Circuit Low
1841,P0A29,Hybrid Battery Power Off Circuit High
1842,P0A2A,"Drive Motor ""A"" Temperature Sensor Circuit"
1843,P0A2B,"Drive Motor ""A"" Temperature Sensor Circuit Range/Performance"
1844,P0A2C,"Drive Motor ""A"" Temperature Sensor Circuit Low"
1845,P0A2D,"Drive Motor ""A"" Temperature Sensor Circuit High"
1846,P0A2E,"Drive Motor ""A"" Temperature Sensor Circuit Intermittent"
1847,P0A2F,"Drive Motor ""A"" Over Temperature"
1848,P0A30,"Drive Motor ""B"" Temperature Sensor Circuit"
1849,P0A31,"Drive Motor ""B"" Temperature Sensor Circuit Range/Performance"
1850,P0A32,"Drive Motor ""B"" Temperature Sensor Circuit Low"
1851,P0A33,"Drive Motor ""B"" Temperature Sensor Circuit High"
1852,P0A34,"Drive Motor ""B"" Temperature Sensor Circuit Intermittent"
1853,P0A35,"Drive Motor ""B"" Over Temperature"
1854,P0A36,Generator Temperature Sensor Circuit
1855,P0A37,Generator Temperature Sensor Circuit Range/Performance
1856,P0A38,Generator Temperature Sensor Circuit Low
1857,P0A39,Generator Temperature Sensor Circuit High
1858,P0A3A,Generator Temperature Sensor Circuit Intermittent
1859,P0A3B,Generator Over Temperature
1860,P0A3C,"Drive Motor ""A"" Inverter Over Temperature"
1861,P0A3D,"Drive Motor ""B"" Inverter Over Temperature"
1862,P0A3E,Generator Inverter Over Temperature
1863,P0A3F,"Drive Motor ""A"" Position Sensor Circuit"
1864,P0A40,"Drive Motor ""A"" Position Sensor Circuit Range/Performance"
1865,P0A41,"Drive Motor ""A"" Position Sensor Circuit Low"
1866,P0A42,"Drive Motor ""A"" Position Sensor Circuit High"
1867,P0A43,"Drive Motor ""A"" Position Sensor Circuit Intermittent"
1868,P0A44,"Drive Motor ""A"" Position Sensor Circuit Overspeed"
1869,P0A45,"Drive Motor ""B"" Position Sensor Circuit"
1870,P0A46,"Drive Motor ""B"" Position Sensor Circuit Range/Performance"
1871,P0A47,"Drive Motor ""B"" Position Sensor Circuit Low"
1872,P0A48,"Drive Motor ""B"" Position Sensor Circuit High"
1873,P0A49,"Drive Motor ""B"" Position Sensor Circuit Intermittent"
1874,P0A4A,"Drive Motor ""B"" Position Sensor Circuit Overspeed"
1875,P0A4B,Generator Position Sensor Circuit
1876,P0A4C,Generator Position Sensor Circuit Range/Performance
1877,P0A4D,Generator Position Sensor Circuit Low
1878,P0A4E,Generator Position Sensor Circuit High
1879,P0A4F,Generator Position Sensor Circuit Intermittent
1880,P0A50,Generator Position Sensor Circuit Overspeed
1881,P0A51,"Drive Motor ""A"" Current Sensor Circuit"
1882,P0A52,"Drive Motor ""A"" Current Sensor Circuit Range/Performance"
1883,P0A53,"Drive Motor ""A"" Current Sensor Circuit Low"
1884,P0A54,"Drive Motor ""A"" Current Sensor Circuit High"
1885,P0A55,"Drive Motor ""B"" Current Sensor Circuit"
1886,P0A56,"Drive Motor ""B"" Current Sensor Circuit Range/Performance"
1887,P0A57,"Drive Motor ""B"" Current Sensor Circuit Low"
1888,P0A58,"Drive Motor ""B"" Current Sensor Circuit High"
1889,P0A59,Generator Current Sensor Circuit
1890,P0A5A,Generator Current Sensor Circuit Range/Performance
1891,P0A5B,Generator Current Sensor Circuit Low
1892,P0A5C,Generator Current Sensor Circuit High
1893,P0A5D,"Drive Motor ""A"" Phase U Current"
1894,P0A5E,"Drive Motor ""A"" Phase U Current Low"
1895,P0A5F,"Drive Motor ""A"" Phase U Current High"
1896,P0A60,"Drive Motor ""A"" Phase V Current"
1897,P0A61,"Drive Motor ""A"" Phase V Current Low"
1898,P0A62,"Drive Motor ""A"" Phase V Current High"
1899,P0A63,"Drive Motor ""A"" Phase W Current"
1900,P0A64,"Drive Motor ""A"" Phase W Current Low"
1901,P0A65,"Drive Motor ""A"" Phase W Current High"
1902,P0A66,"Drive Motor ""B"" Phase U Current"
1903,P0A67,"Drive Motor ""B"" Phase U Current Low"
1904,P0A68,"Drive Motor ""B"" Phase U Current High"
1905,P0A69,"Drive Motor ""B"" Phase V Current"
1906,P0A6A,"Drive Motor ""B"" Phase V Current Low"
1907,P0A6B,"Drive Motor ""B"" Phase V Current High"
1908,P0A6C,"Drive Motor ""B"" Phase W Current"
1909,P0A6D,"Drive Motor ""B"" Phase W Current Low"
1910,P0A6E,"Drive Motor ""B"" Phase W Current High"
1911,P0A6F,Generator Phase U Current
1912,P0A70,Generator Phase U Current Low
1913,P0A71,Generator Phase U Current High
1914,P0A72,Generator Phase V Current
1915,P0A73,Generator Phase V Current Low
1916,P0A74,Generator Phase V Current High
1917,P0A75,Generator Phase W Current
1918,P0A76,Generator Phase W Current Low
1919,P0A77,Generator Phase W Current High
1920,P0A78,"Drive Motor ""A"" Inverter Performance"
1921,P0A79,"Drive Motor ""B"" Inverter Performance"
1922,P0A7A,Generator Inverter Performance
1923,P0A7B,Battery Energy Control Module Requested MIL Illumination
1924,P0A7C,Motor Electronics Over Temperature
1925,P0A7D,Hybrid Battery Pack State of Charge Low
1926,P0A7E,Hybrid Battery Pack Over Temperature
1927,P0A7F,Hybrid Battery Pack Deterioration
1928,P0A80,Replace Hybrid Battery Pack
1929,P0A81,Hybrid Battery Pack Cooling Fan 1 Control Circuit/Open
1930,P0A82,Hybrid Battery Pack Cooling Fan 1 Performance/Stuck Off
1931,P0A83,Hybrid Battery Pack Cooling Fan 1 Stuck On
1932,P0A84,Hybrid Battery Pack Cooling Fan 1 Control Circuit Low
1933,P0A85,Hybrid Battery Pack Cooling Fan 1 Control Circuit High
1934,P0A86,14 Volt Power Module Current Sensor Circuit
1935,P0A87,14 Volt Power Module Current Sensor Circuit Range/Performance
1936,P0A88,14 Volt Power Module Current Sensor Circuit Low
1937,P0A89,14 Volt Power Module Current Sensor Circuit High
1938,P0A8A,14 Volt Power Module Current Sensor Circuit Intermittent
1939,P0A8B,14 Volt Power Module System Voltage
1940,P0A8C,14 Volt Power Module System Voltage Unstable
1941,P0A8D,14 Volt Power Module System Voltage Low
1942,P0A8E,14 Volt Power Module System Voltage High
1943,P0A8F,14 Volt Power Module System Performance
1944,P0A90,"Drive Motor ""A"" Performance"
1945,P0A91,"Drive Motor ""B"" Performance"
1946,P0A92,Hybrid Generator Performance
1947,P0A93,"Inverter ""A"" Cooling System Performance"
1948,P0A94,DC/DC Converter Performance
1949,P0A95,High Voltage Fuse
1950,P0A96,Hybrid Battery Pack Cooling Fan 2 Control Circuit/Open
1951,P0A97,Hybrid Battery Pack Cooling Fan 2 Performance/Stuck Off
1952,P0A98,Hybrid Battery Pack Cooling Fan 2 Stuck On
1953,P0A99,Hybrid Battery Pack Cooling Fan 2 Control Circuit Low
1954,P0A9A,Hybrid Battery Pack Cooling Fan 2 Control Circuit High
1955,P0A9B,"Hybrid Battery Temperature Sensor ""A"" Circuit"
1956,P0A9C,"Hybrid Battery Temperature Sensor ""A"" Range/Performance"
1957,P0A9D,"Hybrid Battery Temperature Sensor ""A"" Circuit Low"
1958,P0A9E,"Hybrid Battery Temperature Sensor ""A"" Circuit High"
1959,P0A9F,"Hybrid Battery Temperature Sensor ""A"" Circuit Intermittent/Erratic"
1960,P0AA0,Hybrid Battery Positive Contactor Circuit
1961,P0AA1,Hybrid Battery Positive Contactor Circuit Stuck Closed
1962,P0AA2,Hybrid Battery Positive Contactor Circuit Stuck Open
1963,P0AA3,Hybrid Battery Negative Contactor Circuit
1964,P0AA4,Hybrid Battery Negative Contactor Circuit Stuck Closed
1965,P0AA5,Hybrid Battery Negative Contactor Circuit Stuck Open
1966,P0AA6,Hybrid Battery Voltage System Isolation Fault
1967,P0AA7,Hybrid Battery Voltage Isolation Sensor Circuit
1968,P0AA8,Hybrid Battery Voltage Isolation Sensor Circuit Range/Performance
1969,P0AA9,Hybrid Battery Voltage Isolation Sensor Circuit Low
1970,P0AAA,Hybrid Battery Voltage Isolation Sensor Circuit High
1971,P0AAB,Hybrid Battery Voltage Isolation Sensor Circuit Intermittent/Erratic
1972,P0AAC,"Hybrid Battery Pack Air Temperature Sensor ""A"" Circuit"
4959,P3900,ISO/SAE Reserved
1973,P0AAD,"Hybrid Battery Pack Air Temperature Sensor ""A"" Circuit Range/Performance"
1974,P0AAE,"Hybrid Battery Pack Air Temperature Sensor ""A"" Circuit Low"
1975,P0AAF,"Hybrid Battery Pack Air Temperature Sensor ""A"" Circuit High"
1976,P0AB0,"Hybrid Battery Pack Air Temperature Sensor ""A"" Circuit Intermittent/Erratic"
1977,P0AB1,"Hybrid Battery Pack Air Temperature Sensor ""B"" Circuit"
1978,P0AB2,"Hybrid Battery Pack Air Temperature Sensor ""B"" Circuit Range/Performance"
1979,P0AB3,"Hybrid Battery Pack Air Temperature Sensor ""B"" Circuit Low"
1980,P0AB4,"Hybrid Battery Pack Air Temperature Sensor ""B"" Circuit High"
1981,P0AB5,"Hybrid Battery Pack Air Temperature Sensor ""B"" Circuit Intermittent/Erratic"
1982,P0AB6,"Engine Mount ""B"" Control Circuit/Open"
1983,P0AB7,"Engine Mount ""B"" Control Circuit Low"
1984,P0AB8,"Engine Mount ""B"" Control Circuit High"
1985,P0AB9,Hybrid System Performance
1986,P0ABA,"Hybrid Battery Pack Voltage Sense ""A"" Circuit"
1987,P0ABB,"Hybrid Battery Pack Voltage Sense ""A"" Circuit Range/Performance"
1988,P0ABC,"Hybrid Battery Pack Voltage Sense ""A"" Circuit Low"
1989,P0ABD,"Hybrid Battery Pack Voltage Sense ""A"" Circuit High"
1990,P0ABE,"Hybrid Battery Pack Voltage Sense ""A"" Circuit Intermittent/Erratic"
1991,P0ABF,"Hybrid Battery Pack Current Sensor ""A"" Circuit"
1992,P0AC0,"Hybrid Battery Pack Current Sensor ""A"" Circuit Range/Performance"
1993,P0AC1,"Hybrid Battery Pack Current Sensor ""A"" Circuit Low"
1994,P0AC2,"Hybrid Battery Pack Current Sensor ""A"" Circuit High"
1995,P0AC3,"Hybrid Battery Pack Current Sensor ""A"" Circuit Intermittent/Erratic"
1996,P0AC4,Hybrid Powertrain Control Module Requested MIL Illumination
1997,P0AC5,"Hybrid Battery Temperature Sensor ""B"" Circuit"
1998,P0AC6,"Hybrid Battery Temperature Sensor ""B"" Range/Performance"
1999,P0AC7,"Hybrid Battery Temperature Sensor ""B"" Circuit Low"
2000,P0AC8,"Hybrid Battery Temperature Sensor ""B"" Circuit High"
2001,P0AC9,"Hybrid Battery Temperature Sensor ""B"" Circuit Intermittent/Erratic"
2002,P0ACA,"Hybrid Battery Temperature Sensor ""C"" Circuit"
2003,P0ACB,"Hybrid Battery Temperature Sensor ""C"" Range/Performance"
2004,P0ACC,"Hybrid Battery Temperature Sensor ""C"" Circuit Low"
2005,P0ACD,"Hybrid Battery Temperature Sensor ""C"" Circuit High"
2006,P0ACE,"Hybrid Battery Temperature Sensor ""C"" Circuit Intermittent/Erratic"
2007,P0ACF,Hybrid Battery Pack Cooling Fan 3 Control Circuit/Open
2008,P0AD0,Hybrid Battery Pack Cooling Fan 3 Performance/Stuck Off
2009,P0AD1,Hybrid Battery Pack Cooling Fan 3 Stuck On
2010,P0AD2,Hybrid Battery Pack Cooling Fan 3 Control Circuit Low
2011,P0AD3,Hybrid Battery Pack Cooling Fan 3 Control Circuit High
2012,P0AD4,Hybrid Battery Pack Air Flow System Insufficient Air Flow
2013,P0AD5,"Hybrid Battery Pack Air Flow Valve ""A"" Control Circuit/Open"
2014,P0AD6,"Hybrid Battery Pack Air Flow Valve ""A"" Control Circuit Range/Performance"
2015,P0AD7,"Hybrid Battery Pack Air Flow Valve ""A"" Control Circuit Low"
2016,P0AD8,"Hybrid Battery Pack Air Flow Valve ""A"" Control Circuit High"
2017,P0AD9,Hybrid Battery Positive Contactor Control Circuit/Open
2018,P0ADA,Hybrid Battery Positive Contactor Control Circuit Range/Performance
2019,P0ADB,Hybrid Battery Positive Contactor Control Circuit Low
2020,P0ADC,Hybrid Battery Positive Contactor Control Circuit High
2021,P0ADD,Hybrid Battery Negative Contactor Control Circuit/Open
2022,P0ADE,Hybrid Battery Negative Contactor Control Circuit Range/Performance
2023,P0ADF,Hybrid Battery Negative Contactor Control Circuit Low
2024,P0AE0,Hybrid Battery Negative Contactor Control Circuit High
2025,P0AE1,Hybrid Battery Precharge Contactor Circuit
2026,P0AE2,Hybrid Battery Precharge Contactor Circuit Stuck Closed
2027,P0AE3,Hybrid Battery Precharge Contactor Circuit Stuck Open
2028,P0AE4,Hybrid Battery Precharge Contactor Control Circuit
2029,P0AE5,Hybrid Battery Precharge Contactor Control Circuit Range/Performance
2030,P0AE6,Hybrid Battery Precharge Contactor Control Circuit Low
2031,P0AE7,Hybrid Battery Precharge Contactor Control Circuit High
2032,P0AE8,"Hybrid Battery Temperature Sensor ""D"" Circuit"
2033,P0AE9,"Hybrid Battery Temperature Sensor ""D"" Range/Performance"
2034,P0AEA,"Hybrid Battery Temperature Sensor ""D"" Circuit Low"
2035,P0AEB,"Hybrid Battery Temperature Sensor ""D"" Circuit High"
2036,P0AEC,"Hybrid Battery Temperature Sensor ""D"" Circuit Intermittent/Erratic"
2037,P0AED,"Drive Motor Inverter Temperature Sensor ""A"" Circuit"
2038,P0AEE,"Drive Motor Inverter Temperature Sensor ""A"" Circuit Range/Performance"
2039,P0AEF,"Drive Motor Inverter Temperature Sensor ""A"" Circuit Low"
2040,P0AF0,"Drive Motor Inverter Temperature Sensor ""A"" Circuit High"
2041,P0AF1,"Drive Motor Inverter Temperature Sensor ""A"" Circuit Intermittent/Erratic"
2042,P0AF2,"Drive Motor Inverter Temperature Sensor ""B"" Circuit"
2043,P0AF3,"Drive Motor Inverter Temperature Sensor ""B"" Circuit Range/Performance"
2044,P0AF4,"Drive Motor Inverter Temperature Sensor ""B"" Circuit Low"
2045,P0AF5,"Drive Motor Inverter Temperature Sensor ""B"" Circuit High"
2046,P0AF6,"Drive Motor Inverter Temperature Sensor ""B"" Circuit Intermittent/Erratic"
2047,P0AF7,14 Volt Power Module Internal Temperature Too High
2048,P0AF8,Hybrid Battery System Voltage
2049,P0AF9,Hybrid Battery System Voltage Unstable
2050,P0AFA,Hybrid Battery System Voltage Low
2051,P0AFB,Hybrid Battery System Voltage High
2052,P0AFC,Hybrid Battery Pack Sensor Module
4960,P3A00,ISO/SAE Reserved
2053,P0AFD,Hybrid Battery Pack Temperature Too Low
2054,P0AFE,Hybrid Battery System Voltage Too Low for Voltage Step Up Conversion
2055,P0AFF,System Voltage Too Low for Voltage Step Down Conversion
2056,P0B00,Auxiliary Transmission Fluid Pump Motor Phase U Current
2057,P0B01,Auxiliary Transmission Fluid Pump Motor Phase U Current Low
2058,P0B02,Auxiliary Transmission Fluid Pump Motor Phase U Current High
2059,P0B03,Auxiliary Transmission Fluid Pump Motor Phase V Current
2060,P0B04,Auxiliary Transmission Fluid Pump Motor Phase V Current Low
2061,P0B05,Auxiliary Transmission Fluid Pump Motor Phase V Current High
2062,P0B06,Auxiliary Transmission Fluid Pump Motor Phase W Current
2063,P0B07,Auxiliary Transmission Fluid Pump Motor Phase W Current Low
2064,P0B08,Auxiliary Transmission Fluid Pump Motor Phase W Current High
2065,P0B09,Auxiliary Transmission Fluid Pump Motor Supply Voltage Circuit/Open
2066,P0B0A,Auxiliary Transmission Fluid Pump Motor Supply Voltage Circuit Low
2067,P0B0B,Auxiliary Transmission Fluid Pump Motor Supply Voltage Circuit High
2068,P0B0C,Auxiliary Transmission Fluid Pump Hydraulic Leakage
2069,P0B0D,Auxiliary Transmission Fluid Pump Motor Control Module
2070,P0B0E,"Hybrid Battery Pack Current Sensor ""B"" Circuit"
2071,P0B0F,"Hybrid Battery Pack Current Sensor ""B"" Circuit Range/Performance"
2072,P0B10,"Hybrid Battery Pack Current Sensor ""B"" Circuit Low"
2073,P0B11,"Hybrid Battery Pack Current Sensor ""B"" Circuit High"
2074,P0B12,"Hybrid Battery Pack Current Sensor ""B"" Circuit Intermittent/Erratic"
2075,P0B13,"Hybrid Battery Pack Current Sensor ""A""/""B"" Correlation"
2076,P0B14,"Hybrid Battery Pack Voltage Sense ""B"" Circuit"
2077,P0B15,"Hybrid Battery Pack Voltage Sense ""B"" Circuit Range/Performance"
2078,P0B16,"Hybrid Battery Pack Voltage Sense ""B"" Circuit Low"
2079,P0B17,"Hybrid Battery Pack Voltage Sense ""B"" Circuit High"
2080,P0B18,"Hybrid Battery Pack Voltage Sense ""B"" Circuit Intermittent/Erratic"
2081,P0B19,"Hybrid Battery Pack Voltage Sense ""C"" Circuit"
2082,P0B1A,"Hybrid Battery Pack Voltage Sense ""C"" Circuit Range/Performance"
2083,P0B1B,"Hybrid Battery Pack Voltage Sense ""C"" Circuit Low"
2084,P0B1C,"Hybrid Battery Pack Voltage Sense ""C"" Circuit High"
2085,P0B1D,"Hybrid Battery Pack Voltage Sense ""C"" Circuit Intermittent/Erratic"
2086,P0B1E,"Hybrid Battery Pack Voltage Sense ""D"" Circuit"
2087,P0B1F,"Hybrid Battery Pack Voltage Sense ""D"" Circuit Range/Performance"
2088,P0B20,"Hybrid Battery Pack Voltage Sense ""D"" Circuit Low"
2089,P0B21,"Hybrid Battery Pack Voltage Sense ""D"" Circuit High"
2090,P0B22,"Hybrid Battery Pack Voltage Sense ""D"" Circuit Intermittent/Erratic"
2091,P0B23,"Hybrid Battery ""A"" Voltage"
2092,P0B24,"Hybrid Battery ""A"" Voltage Unstable"
2093,P0B25,"Hybrid Battery ""A"" Voltage Low"
2094,P0B26,"Hybrid Battery ""A"" Voltage High"
2095,P0B27,"Hybrid Battery ""B"" Voltage"
2096,P0B28,"Hybrid Battery ""B"" Voltage Unstable"
2097,P0B29,"Hybrid Battery ""B"" Voltage Low"
2098,P0B2A,"Hybrid Battery ""B"" Voltage High"
2099,P0B2B,"Hybrid Battery ""C"" Voltage"
2100,P0B2C,"Hybrid Battery ""C"" Voltage Unstable"
2101,P0B2D,"Hybrid Battery ""C"" Voltage Low"
2102,P0B2E,"Hybrid Battery ""C"" Voltage High"
2103,P0B2F,"Hybrid Battery ""D"" Voltage"
2104,P0B30,"Hybrid Battery ""D"" Voltage Unstable"
2105,P0B31,"Hybrid Battery ""D"" Voltage Low"
2106,P0B32,"Hybrid Battery ""D"" Voltage High"
2107,P0B33,High Voltage Service Disconnect Circuit
2108,P0B34,High Voltage Service Disconnect Circuit Performance
2109,P0B35,High Voltage Service Disconnect Circuit Low
2110,P0B36,High Voltage Service Disconnect Circuit High
2111,P0B37,High Voltage Service Disconnect Open
2112,P0B38,"Motor Electronics Coolant Pump ""B"" Control Circuit/Open"
2113,P0B39,"Motor Electronics Coolant Pump ""B"" Control Circuit Low"
2114,P0B3A,"Motor Electronics Coolant Pump ""B"" Control Circuit High"
2115,P0B3B,"Hybrid Battery Voltage Sense ""A"" Circuit"
2116,P0B3C,"Hybrid Battery Voltage Sense ""A"" Circuit Range/Performance"
